x,y,s,dis,dir,event,nflId,displayName,jerseyNumber,team,frame.id,gameId_x,playId,quarter,GameClock,down,yardsToGo,possessionTeam,yardlineSide,yardlineNumber,isSTPlay,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,PositionAbbr,snap_x,snap_y
84.61,19.36,1.75,0.0,266.27,ball_snap,2530515.0,Chris Hogan,15.0,home,15,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
84.6,19.36,2.06,0.01,266.05,,2530515.0,Chris Hogan,15.0,home,16,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
84.59,19.36,2.39,0.02,265.65,,2530515.0,Chris Hogan,15.0,home,17,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
84.5,19.36,2.73,0.08,265.45,,2530515.0,Chris Hogan,15.0,home,18,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
84.2,19.34,3.11,0.3,265.46,,2530515.0,Chris Hogan,15.0,home,19,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
83.66,19.3,3.49,0.54,265.5,,2530515.0,Chris Hogan,15.0,home,20,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
83.09,19.24,3.88,0.58,265.56,,2530515.0,Chris Hogan,15.0,home,21,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
82.55,19.2,4.29,0.54,265.67,,2530515.0,Chris Hogan,15.0,home,22,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
82.02,19.18,4.7,0.53,265.85,,2530515.0,Chris Hogan,15.0,home,23,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
81.48,19.15,5.13,0.54,266.2,,2530515.0,Chris Hogan,15.0,home,24,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
80.92,19.1,5.56,0.56,266.62,,2530515.0,Chris Hogan,15.0,home,25,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
80.34,19.03,5.99,0.58,267.05,,2530515.0,Chris Hogan,15.0,home,26,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
79.72,18.97,6.39,0.63,267.63,,2530515.0,Chris Hogan,15.0,home,27,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,False,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
